SOURCE,TARGET,RATING,TIME
1,401,1,1289192400
112,53,4,1289192400
9,969,8,1289192400
9,270,8,1289192400
118,53,5,1289365200
118,270,8,1289365200
118,470,9,1289365200
118,1,8,1289365200
53,118,5,1289365200
167,73,1,1289451600
270,1,8,1289538000
270,470,1,1289538000
270,112,7,1289538000
270,53,7,1289538000
270,118,8,1289538000
36,473,1,1289624400
473,36,1,1289624400
36,112,5,1289710800
53,36,5,1289710800
112,36,2,1289710800
167,438,1,1289797200
167,9,2,1289797200
9,167,2,1289797200
98,9,2,1290056400
9,98,2,1290056400
36,1631,1,1290142800
1631,36,2,1290142800
1126,112,1,1290229200
9,1,8,1290488400
1126,1,1,1290661200
1,1126,1,1290661200
3,112,3,1290747600
112,3,5,1290747600
1,167,9,1290920400
1,9,3,1291006800
1631,1,3,1291006800
1,1631,2,1291006800
0,112,2,1291006800
120,504,1,1291093200
0,1,1,1291093200
504,120,1,1291093200
167,1,9,1291179600
470,1,3,1291266000
3,98,2,1291352400
7423,504,1,1291438800
504,7423,1,1291438800
90,296,1,1291525200
90,7423,1,1291525200
90,3,3,1291525200
7423,90,1,1291525200
73,167,1,1291611600
73,311,1,1291611600
3,9,1,1291698000
9,3,1,1291698000
237,98,1,1292043600
296,90,2,1292043600
98,237,1,1292043600
98,2472,1,1292043600
2472,98,1,1292043600
39,120,2,1292130000
120,39,2,1292130000
118,120,2,1292216400
120,118,2,1292216400
3,120,3,1292302800
120,3,4,1292302800
98,3,2,1292648400
118,90,2,1292734800
90,118,2,1292734800
36,30,5,1292734800
7399,53,2,1292821200
7399,36,3,1292821200
36,7399,2,1292821200
709,1,2,1292907600
1,709,2,1292907600
118,3,5,1293166800
3,438,2,1293426000
90,624,2,1293426000
624,0,2,1293426000
0,743,1,1293426000
0,624,1,1293426000
624,90,2,1293426000
438,3,1,1293426000
36,379,4,1293512400
39,1400,1,1293512400
3,1208,1,1293598800
916,44,1,1293598800
1208,3,1,1293598800
1126,73,1,1293598800
7399,292,4,1293598800
73,1126,1,1293598800
3,311,5,1293598800
1,511,1,1293685200
511,1,1,1293685200
30,36,2,1293771600
22,39,1,1293771600
22,511,1,1293771600
39,22,1,1293771600
511,22,1,1293771600
73,624,1,1293858000
44,916,1,1293858000
624,73,1,1293858000
1,916,2,1294030800
39,36,1,1294030800
36,39,1,1294030800
916,1,2,1294030800
624,438,3,1294117200
44,250,1,1294117200
438,624,3,1294117200
7551,624,1,1294203600
39,43,1,1294203600
43,39,1,1294203600
2890,39,1,1294203600
39,2890,1,1294203600
624,7551,1,1294203600
39,743,1,1294549200
743,711,1,1294549200
743,39,1,1294549200
743,0,1,1294549200
711,743,3,1294549200
167,90,1,1294635600
90,167,3,1294635600
743,248,1,1294722000
248,743,3,1294808400
500,3,3,1294894800
401,1114,2,1294894800
1114,401,2,1294894800
624,1468,4,1294894800
1468,624,1,1294894800
743,401,1,1294981200
401,743,1,1294981200
435,1,1,1295154000
767,435,1,1295154000
1,435,1,1295154000
767,22,2,1295326800
39,988,1,1295413200
36,90,1,1295413200
90,36,1,1295413200
379,36,4,1295499600
22,1086,1,1295586000
1086,22,1,1295586000
1114,916,1,1295672400
916,1114,1,1295672400
3,531,1,1295845200
531,3,1,1295845200
39,916,1,1295931600
39,378,1,1295931600
916,39,1,1295931600
73,3,5,1296018000
3,445,1,1296018000
388,44,2,1296018000
44,388,2,1296018000
445,3,1,1296018000
22,388,4,1296104400
388,125,2,1296104400
388,292,1,1296104400
388,22,4,1296104400
531,90,1,1296190800
90,531,1,1296190800
112,1126,1,1296277200
112,768,2,1296277200
768,90,1,1296277200
90,768,1,1296277200
767,3,4,1296450000
767,1,3,1296450000
3,767,2,1296450000
125,292,3,1296536400
43,1086,1,1296536400
22,709,2,1296536400
1086,73,1,1296536400
1086,43,1,1296536400
73,1086,1,1296536400
1,1208,2,1296622800
1,53,8,1296622800
1,73,6,1296622800
1208,1,2,1296622800
292,438,3,1296709200
292,1,3,1296709200
292,401,1,1296709200
3,1908,1,1296709200
292,73,1,1296709200
292,7399,3,1296709200
1908,3,1,1296709200
292,388,1,1296709200
292,125,3,1296709200
292,90,3,1296709200
292,112,3,1296709200
30,378,1,1296795600
44,39,1,1296795600
39,44,1,1296795600
988,39,1,1296795600
130,144,2,1296882000
130,73,2,1296882000
130,560,2,1296882000
560,130,2,1296882000
144,130,2,1296882000
511,120,2,1297054800
53,147,2,1297054800
120,511,2,1297054800
147,53,2,1297054800
378,39,1,1297141200
147,438,1,1297141200
378,30,1,1297141200
438,147,1,1297141200
248,401,4,1297141200
269,147,1,1297227600
147,269,1,1297227600
445,1,1,1297227600
147,767,1,1297227600
767,147,1,1297227600
3,2102,1,1297314000
767,44,1,1297314000
44,767,1,1297314000
2102,39,1,1297314000
767,445,1,1297314000
2102,3,1,1297314000
445,767,1,1297314000
401,248,3,1297314000
39,2102,1,1297314000
3,22,5,1297400400
3,236,2,1297400400
22,767,2,1297400400
236,269,5,1297486800
147,1408,1,1297486800
236,3,3,1297486800
511,147,3,1297486800
269,236,5,1297486800
147,118,5,1297486800
1408,147,1,1297486800
378,1208,2,1297573200
465,147,1,1297573200
378,465,1,1297573200
147,465,1,1297573200
465,378,1,1297573200
378,1,1,1297573200
53,465,1,1297573200
222,378,1,1297573200
378,222,1,1297573200
1,378,1,1297573200
465,53,1,1297573200
269,378,1,1297659600
378,269,1,1297659600
147,108,1,1297659600
108,147,1,1297659600
1400,147,1,1297659600
73,130,4,1297746000
2697,1,1,1297746000
39,1225,1,1297746000
1,2697,1,1297746000
118,147,2,1297746000
459,53,1,1297746000
22,1918,1,1297746000
1225,39,1,1297746000
1918,39,1,1297832400
147,839,4,1297832400
378,53,1,1297832400
39,1918,1,1297832400
147,7326,1,1297832400
130,147,3,1297832400
147,1400,1,1297832400
378,1229,1,1297832400
7326,1400,1,1297832400
378,108,1,1297832400
151,1627,1,1297832400
1229,378,1,1297832400
53,378,1,1297832400
839,147,4,1297832400
147,130,3,1297832400
511,151,1,1297832400
1627,151,1,1297832400
43,710,2,1297832400
108,378,1,1297832400
1599,39,1,1297918800
3,709,3,1297918800
147,151,1,1297918800
709,3,3,1297918800
151,147,1,1297918800
39,1599,1,1297918800
22,934,1,1298005200
39,147,1,1298005200
934,22,1,1298005200
147,39,1,1298005200
1,768,2,1298005200
710,43,2,1298005200
768,1,2,1298005200
1,445,2,1298005200
1269,3,3,1298091600
118,768,1,1298091600
768,118,1,1298091600
3,1269,3,1298091600
768,459,1,1298091600
459,511,1,1298091600
459,768,1,1298091600
768,151,1,1298091600
151,768,1,1298091600
511,459,1,1298091600
147,511,3,1298091600
147,43,1,1298178000
43,147,1,1298178000
850,39,1,1298264400
39,850,1,1298264400
1599,147,2,1298264400
53,151,1,1298264400
151,53,1,1298264400
147,1599,2,1298264400
1,3,9,1298264400
3,1,7,1298264400
1400,39,2,1298350800
222,250,1,1298350800
250,222,1,1298350800
7326,530,1,1298437200
530,53,1,1298437200
530,7326,1,1298437200
53,530,1,1298437200
39,233,1,1298523600
233,39,1,1298523600
378,43,1,1298523600
105,296,2,1298610000
296,105,2,1298610000
839,530,2,1298610000
22,2437,1,1298610000
530,44,1,1298610000
530,839,2,1298610000
530,130,1,1298610000
130,530,1,1298610000
1912,147,2,1298610000
2437,22,1,1298610000
39,1076,1,1298610000
147,1912,2,1298610000
22,43,2,1298610000
44,530,1,1298610000
296,1211,3,1298696400
3,530,1,1298696400
108,1269,1,1298696400
1920,1269,1,1298696400
1269,1920,1,1298696400
1269,108,1,1298696400
625,151,1,1298782800
108,107,1,1298782800
1400,1,2,1298782800
107,108,1,1298782800
1400,7551,2,1298782800
151,625,1,1298782800
7551,1400,2,1298782800
22,1225,2,1298869200
53,839,1,1298869200
530,773,1,1298869200
1225,22,2,1298869200
222,108,1,1298869200
1,311,6,1298869200
773,530,1,1298869200
1076,39,1,1298869200
108,222,1,1298869200
839,53,1,1298869200
1098,144,1,1298955600
138,147,1,1298955600
222,144,1,1298955600
147,138,1,1298955600
144,1098,1,1298955600
108,1098,1,1298955600
1098,108,1,1298955600
147,1098,1,1298955600
144,222,1,1298955600
1098,147,1,1298955600
3,511,1,1299042000
465,44,1,1299042000
44,465,1,1299042000
3,192,2,1299042000
192,3,2,1299042000
250,3,1,1299042000
511,3,1,1299042000
249,3,2,1299128400
3,249,2,1299128400
1907,3,1,1299128400
1211,296,1,1299128400
3,1907,1,1299128400
511,108,3,1299214800
1075,43,2,1299214800
1815,3,1,1299214800
3,1815,1,1299214800
43,1075,2,1299214800
43,130,1,1299387600
130,43,1,1299387600
1130,43,1,1299387600
43,378,2,1299387600
43,1130,1,1299387600
53,1,8,1299474000
222,164,1,1299474000
164,222,1,1299474000
43,105,1,1299474000
138,22,2,1299474000
22,138,2,1299474000
378,3,1,1299474000
105,43,1,1299474000
22,107,2,1299560400
2438,3,1,1299646800
1600,22,1,1299646800
3,2438,1,1299646800
1600,107,1,1299646800
107,1600,1,1299646800
3,0,2,1299646800
22,1600,1,1299646800
22,1397,1,1299646800
1397,22,1,1299646800
98,22,2,1299733200
22,98,2,1299733200
7551,2439,1,1299733200
22,1130,4,1299733200
2439,7551,1,1299733200
1077,22,1,1299906000
22,83,1,1299906000
22,1077,1,1299906000
839,3,1,1299906000
3,839,1,1299906000
83,147,1,1299992400
147,83,2,1299992400
3,467,2,1299992400
467,3,2,1299992400
3,7549,1,1300161600
605,1600,1,1300161600
15,767,1,1300161600
1600,605,1,1300161600
465,653,1,1300161600
0,3,2,1300161600
22,2440,1,1300161600
767,15,1,1300161600
465,22,1,1300161600
653,465,1,1300161600
3,378,3,1300161600
1400,22,3,1300248000
605,418,1,1300248000
418,605,1,1300248000
467,7551,1,1300248000
840,3,2,1300248000
1400,3,3,1300248000
22,1400,3,1300248000
3,2441,1,1300334400
2441,3,1,1300334400
22,152,3,1300334400
22,465,1,1300420800
465,222,2,1300420800
222,465,2,1300420800
3,418,2,1300507200
151,152,1,1300593600
3,248,1,1300680000
3,840,3,1300680000
561,3,5,1300680000
151,43,1,1300766400
467,9,1,1300766400
9,467,1,1300766400
248,3,2,1300766400
15,1909,1,1300766400
709,22,2,1300766400
43,151,1,1300766400
1909,15,1,1300766400
233,1909,1,1300852800
435,269,1,1300852800
1910,22,2,1300852800
841,3,1,1300852800
841,147,1,1300852800
841,15,1,1300852800
418,3,2,1300852800
269,435,1,1300852800
151,7551,1,1300852800
841,98,1,1300852800
22,841,4,1300852800
841,22,4,1300852800
841,152,1,1300852800
43,22,3,1300852800
22,1910,2,1300852800
15,841,1,1300852800
3,841,1,1300939200
98,841,1,1300939200
222,710,1,1300939200
710,222,2,1300939200
144,297,1,1300939200
222,62,1,1300939200
62,222,1,1300939200
0,378,2,1300939200
710,15,1,1301025600
1209,297,1,1301025600
1076,388,1,1301025600
144,7326,1,1301025600
90,151,4,1301025600
297,1209,1,1301025600
151,90,4,1301025600
98,561,2,1301112000
22,907,2,1301112000
1079,22,1,1301112000
22,1079,1,1301112000
907,22,2,1301112000
152,841,1,1301112000
352,378,1,1301198400
1211,2443,1,1301198400
352,1211,1,1301198400
1211,352,1,1301198400
1,985,1,1301284800
90,53,8,1301284800
1602,1,1,1301284800
985,1,1,1301284800
22,499,4,1301284800
22,3,7,1301284800
1,1602,1,1301284800
98,352,1,1301284800
1,468,7,1301284800
1,147,1,1301284800
352,98,1,1301284800
22,1,7,1301284800
1211,15,1,1301284800
98,1,4,1301284800
15,1211,1,1301284800
1602,152,1,1301284800
22,400,1,1301371200
1602,296,1,1301371200
22,297,2,1301371200
22,137,1,1301457600
22,1401,1,1301457600
1401,22,1,1301457600
1077,1907,1,1301457600
1907,1077,1,1301457600
1,43,1,1301544000
98,105,1,1301544000
7551,151,1,1301544000
418,1213,1,1301544000
249,1,8,1301544000
1601,3,2,1301544000
1213,418,1,1301544000
43,1,2,1301544000
3,1601,3,1301544000
986,418,1,1301630400
22,1399,3,1301630400
418,986,1,1301630400
1399,22,3,1301630400
15,43,3,1301716800
310,3,5,1301716800
43,15,3,1301716800
364,3,2,1301716800
151,987,1,1301803200
90,437,1,1301803200
437,44,1,1301803200
2444,15,10,1301803200
987,151,1,1301803200
15,2444,1,1301803200
437,90,1,1301803200
15,1913,1,1301803200
1913,15,1,1301803200
53,22,5,1301889600
144,53,1,1301889600
7551,1399,1,1301889600
1,44,3,1301889600
90,222,2,1301889600
144,15,2,1301889600
1401,353,1,1301889600
22,655,6,1301889600
15,144,2,1301889600
1399,7551,1,1301889600
222,90,2,1301889600
770,418,2,1301889600
3,379,2,1301889600
353,1401,1,1301889600
655,22,6,1301889600
7549,3,1,1301889600
418,770,1,1301889600
53,292,2,1301889600
3,39,5,1301889600
3,90,5,1301889600
3,53,5,1301889600
3,118,5,1301889600
3,7551,6,1301889600
53,7551,8,1301889600
53,3,5,1301889600
44,1,3,1301889600
843,22,5,1301976000
